scientific_name,quality.indic,FID,subsample_count,specimen_number,subsample_weight,remaining_weight,weight,cruise,ship,haul,collection,latitude,longitude,itis_tsn,sex,is_random_sample,standard_length,fork_length,total_length,mantle_length,start_latitude,start_longitude,stop_latitude,stop_longitude,equilibrium_time,haulback_time,surface_temp,surface_temp_method,ship_spd_through_water,presence_only,beginTransect,endTransect,quality.indic2
Sardinops sagax,3.024,1634,50,1,0.665,611.335,0.093,200403,FR,55,2105,46.101,-124.3756,161729,female,N,196,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1635,50,2,0.665,611.335,0.062,200403,FR,55,2105,46.101,-124.3756,161729,male,N,167,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1636,50,3,0.665,611.335,0.088,200403,FR,55,2105,46.101,-124.3756,161729,male,N,188,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1637,50,4,0.665,611.335,0.065,200403,FR,55,2105,46.101,-124.3756,161729,female,N,181,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1638,50,5,0.665,611.335,0.071,200403,FR,55,2105,46.101,-124.3756,161729,female,N,175,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1639,50,6,0.665,611.335,0.084,200403,FR,55,2105,46.101,-124.3756,161729,female,N,190,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1640,50,7,0.665,611.335,0.093,200403,FR,55,2105,46.101,-124.3756,161729,female,N,195,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1641,50,8,0.665,611.335,0.068,200403,FR,55,2105,46.101,-124.3756,161729,female,N,186,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1642,50,9,0.665,611.335,0.058,200403,FR,55,2105,46.101,-124.3756,161729,female,N,176,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1643,50,10,0.665,611.335,0.055,200403,FR,55,2105,46.101,-124.3756,161729,male,N,170,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1644,50,11,0.665,611.335,0.069,200403,FR,55,2105,46.101,-124.3756,161729,male,N,172,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1645,50,12,0.665,611.335,0.067,200403,FR,55,2105,46.101,-124.3756,161729,female,N,183,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1646,50,13,0.665,611.335,0.052,200403,FR,55,2105,46.101,-124.3756,161729,male,N,162,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1647,50,14,0.665,611.335,0.068,200403,FR,55,2105,46.101,-124.3756,161729,female,N,173,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1648,50,15,0.665,611.335,0.087,200403,FR,55,2105,46.101,-124.3756,161729,female,N,188,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1649,50,16,0.665,611.335,0.071,200403,FR,55,2105,46.101,-124.3756,161729,female,N,175,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1650,50,17,0.665,611.335,0.076,200403,FR,55,2105,46.101,-124.3756,161729,female,N,184,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1651,50,18,0.665,611.335,0.095,200403,FR,55,2105,46.101,-124.3756,161729,male,N,197,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1652,50,19,0.665,611.335,0.057,200403,FR,55,2105,46.101,-124.3756,161729,male,N,165,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1653,50,20,0.665,611.335,0.06,200403,FR,55,2105,46.101,-124.3756,161729,female,N,169,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1654,50,21,0.665,611.335,0.073,200403,FR,55,2105,46.101,-124.3756,161729,female,N,182,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1655,50,22,0.665,611.335,0.072,200403,FR,55,2105,46.101,-124.3756,161729,male,N,183,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1656,50,23,0.665,611.335,0.081,200403,FR,55,2105,46.101,-124.3756,161729,female,N,186,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1657,50,24,0.665,611.335,0.038,200403,FR,55,2105,46.101,-124.3756,161729,female,N,155,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1658,50,25,0.665,611.335,0.05,200403,FR,55,2105,46.101,-124.3756,161729,male,N,162,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1659,50,26,0.665,611.335,0.078,200403,FR,55,2105,46.101,-124.3756,161729,female,N,183,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1660,50,27,0.665,611.335,0.073,200403,FR,55,2105,46.101,-124.3756,161729,male,N,187,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1661,50,28,0.665,611.335,0.052,200403,FR,55,2105,46.101,-124.3756,161729,female,N,160,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1662,50,29,0.665,611.335,0.056,200403,FR,55,2105,46.101,-124.3756,161729,male,N,167,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1663,50,30,0.665,611.335,0.05,200403,FR,55,2105,46.101,-124.3756,161729,female,N,168,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1664,50,31,0.665,611.335,0.055,200403,FR,55,2105,46.101,-124.3756,161729,male,N,165,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1665,50,32,0.665,611.335,0.054,200403,FR,55,2105,46.101,-124.3756,161729,male,N,164,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1666,50,33,0.665,611.335,0.059,200403,FR,55,2105,46.101,-124.3756,161729,male,N,173,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1667,50,34,0.665,611.335,0.07,200403,FR,55,2105,46.101,-124.3756,161729,female,N,180,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1668,50,35,0.665,611.335,0.071,200403,FR,55,2105,46.101,-124.3756,161729,male,N,176,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1669,50,36,0.665,611.335,0.055,200403,FR,55,2105,46.101,-124.3756,161729,female,N,164,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1670,50,37,0.665,611.335,0.051,200403,FR,55,2105,46.101,-124.3756,161729,female,N,157,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1671,50,38,0.665,611.335,0.06,200403,FR,55,2105,46.101,-124.3756,161729,male,N,173,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1672,50,39,0.665,611.335,0.026,200403,FR,55,2105,46.101,-124.3756,161729,female,N,129,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1673,50,40,0.665,611.335,0.053,200403,FR,55,2105,46.101,-124.3756,161729,male,N,160,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1674,50,41,0.665,611.335,0.079,200403,FR,55,2105,46.101,-124.3756,161729,female,N,183,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1675,50,42,0.665,611.335,0.068,200403,FR,55,2105,46.101,-124.3756,161729,female,N,183,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1676,50,43,0.665,611.335,0.08,200403,FR,55,2105,46.101,-124.3756,161729,female,N,183,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1677,50,44,0.665,611.335,0.05,200403,FR,55,2105,46.101,-124.3756,161729,female,N,162,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1678,50,45,0.665,611.335,0.066,200403,FR,55,2105,46.101,-124.3756,161729,male,N,176,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1679,50,46,0.665,611.335,0.035,200403,FR,55,2105,46.101,-124.3756,161729,male,N,138,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
Sardinops sagax,3.024,1680,50,47,0.665,611.335,0.03,200403,FR,55,2105,46.101,-124.3756,161729,female,N,135,,,,46.101,-124.3756,46.1331,-124.3803,2004-03-17T20:37:00Z,2004-03-17T21:07:00Z,10,bucket,3.4,N,"-124.3756,46.101","-124.3803,46.1331",2.359
